1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
R 4840 -607  527 -1633
W 4860  648  621 -1082
R 4860 -607  527 -1632
W 4880  647  621 -1080
R 4880 -605  527 -1630
W 4900  647  621 -1079
R 4900 -605  527 -1629
W 4920  647  621 -1078
R 4920 -605  527 -1628
W 4940  647  621 -1078
R 4940 -605  527 -1628
W 4960  647  621 -1078
R 4960 -605  527 -1628
W 4980  647  621 -1078
R 4980 -605  527 -1628
W 5000  647  621 -1077
R 5000 -605  526 -1627
W 5020  648  621 -1077
R 5020 -606  525 -1627
W 5040  648  621 -1077
R 5040 -607  525 -1627
W 5060  648  621 -1077
R 5060 -607  525 -1627
W 5080  648  621 -1077
R 5080 -607  525 -1627
W 5100  648  621 -1077
R 5100 -607  525 -1627
W 5120  648  621 -1077
R 5120 -607  525 -1627
W 5140  648  621 -1077
R 5140 -607  525 -1627
W 5160  648  621 -1077
R 5160 -607  525 -1627
W 5180  648  621 -1077
R 5180 -607  525 -1627
W 5200  648  622 -1077
R 5200 -607  524 -1627
W 5220  648  622 -1077
R 5220 -608  524 -1627
W 5240  648  622 -1078
R 5240 -608  523 -1628
W 5260  648  622 -1079
R 5260 -609  523 -1629
W 5280  648  622 -1079
R 5280 -607  523 -1629
W 5300  647  620 -1079
R 5300 -603  527 -1629
W 5320  647  619 -1079
R 5320 -600  531 -1629
W 5340  647  618 -1079
R 5340 -596  534 -1629
W 5360  646  618 -1078
R 5360 -595  536 -1628
W 5380  646  617 -1078
R 5380 -593  537 -1628
W 5400  646  617 -1079
R 5400 -592  539 -1629
W 5420  646  616 -1079
R 5420 -591  541 -1629
W 5440  646  615 -1079
R 5440 -589  543 -1629
W 5460  645  615 -1079
R 5460 -587  546 -1629
W 5480  645  614 -1079
R 5480 -585  547 -1629
W 5500  645  614 -1078
R 5500 -584  547 -1628
W 5520  645  614 -1078
R 5520 -584  547 -1628
W 5540  645  614 -1078
R 5540 -583  548 -1628
W 5560  645  613 -1078
R 5560 -583  549 -1628
W 5580  645  613 -1078
R 5580 -583  549 -1628
W 5600  645  613 -1077
R 5600 -582  549 -1627
W 5620  645  613 -1077
R 5620 -582  549 -1627
W 5640  645  613 -1077
R 5640 -583  549 -1627
W 5660  645  613 -1077
R 5660 -583  549 -1627
W 5680  645  613 -1077
R 5680 -583  549 -1627
W 5700  645  613 -1077
R 5700 -582  549 -1627
W 5720  645  614 -1080
R 5720 -587  547 -1630
W 5740  645  615 -1078
R 5740 -587  545 -1628
W 5760  645  615 -1078
R 5760 -587  545 -1628
W 5780  645  615 -1078
R 5780 -587  545 -1628
W 5800  645  615 -1078
R 5800 -587  545 -1628
W 5820  646  615 -1078
R 5820 -588  545 -1628
W 5840  646  615 -1079
R 5840 -588  545 -1629
W 5860  646  615 -1080
R 5860 -588  545 -1630
W 5880  646  615 -1080
R 5880 -589  545 -1630
W 5900  646  615 -1080
R 5900 -589  544 -1630
W 5920  646  615 -1080
R 5920 -589  544 -1630
W 5940  646  615 -1080
R 5940 -589  544 -1630
W 5960  646  615 -1080
R 5960 -589  544 -1630
W 5980  646  615 -1080
R 5980 -589  544 -1630
W 6000  646  615 -1080
R 6000 -589  544 -1630
W 6020  646  615 -1080
R 6020 -589  544 -1630
W 6040  646  615 -1080
R 6040 -589  544 -1630
W 6060  646  615 -1080
R 6060 -589  544 -1630
W 6080  646  615 -1080
R 6080 -589  544 -1630
W 6100  646  615 -1080
R 6100 -589  544 -1630
W 6120  646  615 -1080
R 6120 -589  544 -1630
W 6140  646  615 -1080
R 6140 -589  544 -1630
W 6160  646  615 -1080
R 6160 -589  544 -1630
W 6180  646  615 -1080
R 6180 -589  544 -1630
W 6200  646  615 -1080
R 6200 -589  544 -1630
W 6220  646  615 -1080
R 6220 -589  544 -1630
W 6240  646  615 -1080
