THIS IS A GOOD ONE

wheel_init
pre_auton
%  batt 7.80v 8.19v
L: t_push=    70
usercontrol
% -- Start auto_a
DUMP_MONITOR=START
DUMP_MONITOR=MONITOR
WHEEL_MONITOR=MONITOR
W 6380  -87  317 -617
R 6380  338 1159 -1167
D 6400  40  -22    8
W 6420  -82  310 -620
R 6420  362 1186 -1170
D 6440  40  -22    8
W 6440  -81  306 -621
R 6440  374 1198 -1171
D 6460  40  -23   -8
W 6460  -79  302 -624
R 6460  384 1211 -1174
D 6480  40  -21   16
W 6520  -77  299 -626
R 6520  394 1224 -1176
D 6540  40   28  175
W 6540  -77  299 -626
R 6540  392 1223 -1176
D 6560  40   48  166
W 6560  -77  300 -625
R 6560  391 1222 -1175
D 6580  40   63  125
R 6620  376 1211 -1179
D 6640  40   85   58
W 6640  -80  305 -630
R 6640  369 1206 -1180
D 6660  19  100  125
W 6660  -81  307 -632
R 6660  362 1201 -1182
D 6680  12  103   25
R 6700  344 1186 -1182
D 6720  10  132  133
W 6720  -86  316 -630
R 6720  334 1174 -1180
D 6740   7  142   83
W 6740  -87  320 -630
R 6740  322 1162 -1180
D 6760  11  156  116
R 6800  284 1130 -1188
D 6820  11  189  108
W 6820  -95  335 -642
R 6820  270 1118 -1192
D 6840   4  198   75
W 6840  -97  339 -646
R 6840  256 1106 -1196
D 6860   7  198    0
R 6880  227 1082 -1202
D 6900   0  209   25
W 6900 -103  351 -655
R 6900  212 1069 -1205
D 6920   0  213   33
W 6920 -105  356 -660
R 6920  196 1057 -1210
D 6940  10  215   16
R 6960  164 1032 -1222
D 6980  12  216    0
W 6980 -111  370 -677
R 6980  149 1018 -1227
D 7000  13  216    0
W 7000 -113  374 -681
R 7000  133 1006 -1231
D 7020  13  216    0
W 7080 -120  393 -701
R 7080   69  953 -1251
D 7100  12  215   -8
W 7100 -122  398 -707
R 7100   52  940 -1257
D 7120  14  216    8
W 7120 -124  403 -713
R 7120   36  927 -1263
D 7140  12  215   -8
D 7200  18  201  -50
W 7200 -130  423 -736
R 7200  -32  873 -1286
D 7220  20  195  -50
W 7220 -132  429 -742
R 7220  -50  859 -1292
D 7240  20  191  -33
W 7240 -133  434 -747
R 7240  -67  846 7340  21  173   -8
W 7340 -140  460 -768
R 7340 -152  776 -1318
D 7360  18  173    0
W 7360 -141  465 -772
R 7360 -170  761 -1322
D 7380  17  172   -8
W 7380 -142  471 -776
R 7380 -186  746 -1326
0  17  173    0
W 7420 -145  482 -782
R 7420 -220  716 -1332
D 7440  17  173    0
W 7440 -146  487 -787
R 7440 -238  702 -1337
D 7460  17  172   -8
W 7460 -147  493 -792
R 7460 -255  687 -1342
D 74rt to dump
D 7500 127  172    0
W 7500 -149  503 -799
R 7500 -288  658 -1349
D 7520 127  171   -8
W 7520 -150  509 -802
R 7520 -305  643 -1352
D 7540 127  172    8
W 7540 -151  514 -806
R 7540 -322  83
W 7580 -153  525 -811
R 7580 -356  597 -1361
D 7600   0  200   41
W 7600 -154  531 -814
R 7600 -373  582 -1364
D 7620   0  218  150
W 7620 -154  537 -816
R 7620 -390  566 -1366
D 7640 127  237
W 7660 -156  548 -820
R 7660 -424  536 -1370
D 7680 127  283  216
W 7680 -157  553 -822
R 7680 -440  521 -1372
D 7700 127  311  233
W 7700 -158  558 -823
R 7700 -456  506 -1373
D 7720 127  338  22740 -159  569 -826
R 7740 -488  476 -1376
D 7760 127  399  266
W 7760 -160  574 -827
R 7760 -504  462 -1377
D 7780 127  433  283
W 7780 -160  579 -828
R 7780 -519  448 -1378
D 7800 127  468  291
W -162  590 -836
R 7820 -552  420 -1386
D 7840 127  541  308
W 7840 -162  595 -838
R 7840 -567  407 -1388
D 7860 127  575  283
W 7860 -163  600 -840
R 7860 -582  394 -1390
D 7880 127  610  291
W 7880618 -849
R 7940 -639  342 -1399
D 7960 127  753  266
W 7960 -165  623 -851
R 7960 -653  330 -1401
D 7980 127  790  308
W 7980 -165  628 -854
R 7980 -667  318 -1404
D 8000 127  833  358
R 8020 -692  298 -1410
D 8040 127  902  341
W 8040 -166  637 -865
R 8040 -700  294 -1415
D 8060 127  958  466
W 8060 -166  639 -868
R 8060 -708  292 -1418
D 8080 127 1000  350
W 8080 -166  9
R 8140 -720  290 -1429
D 8160 127 1192  375
W 8160 -166  642 -881
R 8160 -721  290 -1431
D 8180   0 1235  358
W 8180 -166  643 -883
R 8180 -724  288 -1433
D 8200   0 1280  375
W 8200 -166  643 -88220 -731  287 -1436
D 8240   0 1371  375
W 8240 -166  645 -885
R 8240 -738  286 -1435
D 8260   0 1408  308
W 8260 -166  647 -885
R 8260 -746  285 -1435
K8 8262 -166  647 -885
% -- Dump 2
D 8280   5   41
W 8300 -167  649 -884
R 8300 -754  284 -1434
D 8320   0 1445    0
W 8320 -167  648 -885
R 8320 -753  286 -1435
D 8340   0 1455   83
W 8340 -166  648 -885
R 8340 -752  287 -1435
D 8360   0 14  0
W 8380 -166  646 -882
R 8380 -748  292 -1432
D 8400 -127 1466    8
W 8400 -166  646 -881
R 8400 -746  293 -1431
D 8420 -127 1465   -8
W 8420 -166  646 -880
R 8420 -746  293 -1430
D 8440 -127 14-66
W 8520 -166  645 -882
R 8520 -745  293 -1432
D 8540 -127 1438  -41
W 8540 -166  645 -881
R 8540 -745  293 -1431
D 8560 -127 1423 -125
W 8560 -166  645 -880
R 8560 -745  293 -1430
D 8580 -127 14258
W 8620 -166  645 -883
R 8620 -745  293 -1433
D 8640 -127 1322 -225
W 8640 -166  645 -885
R 8640 -745  293 -1435
D 8660 -127 1301 -175
W 8660 -166  645 -887
R 8660 -745  293 -1437
D 8680 -127 12233
W 8720 -166  645 -890
R 8720 -745  293 -1440
D 8740 -127 1191 -225
W 8740 -166  645 -890
R 8740 -745  293 -1440
D 8760 -127 1160 -258
W 8760 -166  645 -888
R 8760 -745  294 -1438
D 8780 -127 11275
W 8800 -166  645 -887
R 8800 -745  294 -1437
D 8820 -127 1075 -216
W 8820 -166  644 -885
R 8820 -741  296 -1435
D 8840 -127 1030 -375
W 8840 -166  643 -882
R 8840 -736  299 -1432
D 8860 -127  938 -883
R 8920 -724  314 -1433
D 8940 -127  832 -283
W 8940 -166  637 -884
R 8940 -720  318 -1434
D 8960 -127  795 -308
W 8960 -166  636 -884
R 8960 -716  321 -1434
D 8980 -127  753 -350
W 8980 -1600 -710  326 -1433
D 9020 -127  670 -341
W 9020 -166  632 -883
R 9020 -706  330 -1433
D 9040 -127  633 -308
W 9040 -166  631 -883
R 9040 -702  334 -1433
D 9060 -127  599 -283
W 9060 -166  630 -883
58  577 -1431
D 9560 -127  -32    0
W 9560 -163  540 -882
R 9560 -442  592 -1432
D 9580 -127  -40  -66
W 9580 -163  535 -882
R 9580 -428  608 -1432
D 9600 -127  -33   58
W 9600 -163  530 -882
R 960-1432
D 9640 -127  -31    0
W 9640 -162  519 -883
R 9640 -380  655 -1433
D 9660 -127  -33  -16
W 9660 -162  513 -883
R 9660 -364  671 -1433
D 9680 -127  -35  -16
W 9680 -162  507 -883
R 9680 -348  9720 -162  496 -883
R 9720 -316  720 -1433
D 9740 -127  -34    0
W 9740 -162  491 -883
R 9740 -300  736 -1433
D 9760 -127  -33    8
W 9760 -161  485 -883
R 9760 -284  753 -1433
D 9780 -127  -35  -1 -35   -8
W 9820 -161  467 -884
R 9820 -234  804 -1434
D 9840 -127  -36   -8
W 9840 -161  461 -885
R 9840 -216  820 -1435
D 9860 -127  -34   16
W 9860 -161  455 -885
R 9860 -200  837 -1435
D 9880 -W 9920 -160  439 -886
R 9920 -152  886 -1436
D 9940 -127  -34   -8
W 9940 -160  433 -886
R 9940 -135  903 -1436
D 9960 -127  -36  -16
W 9960 -160  427 -886
R 9960 -118  920 -1436
D 9980 -127  -34  40 -159  403 -887
R 10040  -52  987 -1437
D 10060 -127  -34    8
W 10060 -159  397 -887
R 10060  -34 1004 -1437
D 10080 -127  -34    0
W 10080 -159  392 -887
R 10080  -18 1021 -1437
D 10100 -127  - 10120 -159  380 -886
R 10120   16 1054 -1436
D 10140 -127  -35   -8
W 10140 -159  374 -886
R 10140   32 1070 -1436
D 10160 -127  -35    0
W 10160 -159  368 -887
R 10160   48 1088 -1437
D 10180 -12   0
