SSS v= 8073  t=  240
SSS -213  3539  1356    19
%P VOLT1   = 7978
%P VOLT2   = 8073
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
G 1960   0 -752  -10
W 1980   0  689  290
G 1980   0 -752    0
W 2000   0  695  285
G 2000   0 -753   -5
W 2020   0  700  265
G 2020   0 -753    0
W 2040   0  706  290
G 2040   0 -753    0
W 2060   0  712  270
G 2060   0 -753    0
W 2080   0  716  240
G 2080   0 -753    0
W 2100   0  721  230
G 2100   0 -753    0
W 2120 -40  726  225
G 2120 -40 -753    0
W 2140 -40  729  195
G 2140 -40 -752    5
W 2160 -40  730   35
G 2160 -40 -752    0
W 2180 -40  730  -30
G 2180 -40 -751    5
W 2200 -40  730   10
G 2200 -40 -750    5
W 2220 127  730    0
G 2220 127 -749    5
W 2240 127  730    0
G 2240 127 -748    5
W 2260 127  731   55
G 2260 127 -747    5
W 2280 127  733  120
G 2280 127 -745   10
W 2300 127  735   70
G 2300 127 -742   15
W 2320 127  735   25
G 2320 127 -735   35
W 2340 127  735   15
G 2340 127 -723   60
W 2360 127  735  -40
G 2360 127 -708   75
W 2380 127  734  -40
G 2380 127 -689   95
W 2400 127  733  -45
G 2400 127 -668  105
W 2420 127  732  -25
G 2420 127 -644  120
W 2440 127  732  -25
G 2440 127 -617  135
W 2460 127  732  -10
G 2460 127 -589  140
W 2480 127  732  -10
G 2480 127 -559  150
W 2500 127  731  -20
G 2500 127 -528  155
W 2520 127  731   15
G 2520 127 -496  160
W 2540 127  732   20
G 2540 127 -463  165
W 2560 127  731  -20
G 2560 127 -428  175
W 2580 127  732   20
G 2580 127 -392  180
W 2600 127  732    0
G 2600 127 -356  180
W 2620 127  732   25
G 2620 127 -319  185
W 2640 127  732  -30
G 2640 127 -281  190
W 2660 127  732   35
G 2660 127 -243  190
W 2680 127  732  -15
G 2680 127 -204  195
W 2700 127  732    0
G 2700 127 -164  200
W 2720 127  732    0
G 2720 127 -124  200
W 2740 127  732    0
G 2740 127  -83  205
W 2760 127  732   15
G 2760 127  -41  210
W 2780 127  733   25
G 2780 127    0  205
W 2800 127  733    0
G 2800 127   43  215
W 2820 127  733   25
G 2820 127   87  220
W 2840 127  734   30
G 2840 127  131  220
W 2860 127  735   45
G 2860 127  175  220
W 2880 127  735   20
G 2880 127  219  220
W 2900 -35  735    0
G 2900 -35  263  220
W 2920 -60  736   45
G 2920 -60  307  220
W 2940 -60  736    0
G 2940 -60  350  215
W 2960 -60  736  -15
G 2960 -60  390  200
W 2980 -60  736   10
G 2980 -60  424  170
W 3000 -20  736  -10
G 3000 -20  451  135
W 3020 -20  737   35
G 3020 -20  472  105
W 3040 -40  737    5
G 3040 -40  487   75
W 3060 -40  737    0
G 3060 -40  497   50
W 3080 -40  736  -40
G 3080 -40  505   40
W 3100 -40  735  -55
G 3100 -40  508   15
W 3120 -40  733  -75
G 3120 -40  509    5
W 3140 -40  733   -5
G 3140 -40  509    0
W 3160 -40  733    0
G 3160 -40  509    0
W 3180 -40  733  -25
G 3180 -40  508   -5
W 3201 -40  732  -52
G 3201 -40  507   -4
W 3222 -40  730  -66
G 3222 -40  506   -4
W 3242 -40  729  -65
G 3242 -40  506    0
W 3263 -40  727  -85
G 3263 -40  506    0
W 3283 -40  725  -95
G 3283 -40  506    0
W 3303 -40  724  -80
G 3303 -40  506    0
W 3323 -40  721 -110
G 3323 -40  506    0
W 3343 -40  719 -115
G 3343 -40  506    0
W 3363 -40  717 -105
G 3363 -40  506    0
% magic=8415
% tsingle=8415
SSS v= 8020  t=  281
SSS  506  9084  5235     8
%P VOLT1   = 7683
%P VOLT2   = 8020
%P S2_SC   =  1.00
%P L_ANG_MAX = 281
S 8020   506  9084  5235
B   0 802  119    8
B  10 802  119    8
B  21 741  119    8
B  31 684  119    8
B  41 681  119    8
B  51 693  119    8
B  61 692  119    8
B  71 669  119    8
B  81 631  119   13
B  91 601  119   23
B 101 594  119   33
B 111 608  119   43
B 121 630  119   52
B 131 648  115   63
B 141 655   92   73
B 151 652   68   83
B 161 645   41   95
B 171 680   29  106
B 181 702   29  118
