%Initializing ... 
%  batt 7.80v 7.99v 
% * pre-auton 
%    pre-initializer 
B 3633 793   10  213
B 3643 793   10  213
B 3653 793   10  213
B 3663 793   10  213
B 3673 793   10  213
B 3683 794   10  213
B 3693 794 -121  213
B 3703 793 -121  213
B 3713 793 -121  213
B 3723 749 -121  213
B 3733 737 -121  213
B 3743 744 -121  212
B 3753 755 -121  210
B 3763 763 -121  205
B 3773 766 -121  201
B 3783 750 -121  196
B 3793 720 -121  187
B 3803 696 -121  175
B 3813 689 -121  160
B 3823 701 -121  143
B 3833 719 -121  125
B 3843 736 -121  105
B 3853 746 -121   86
B 3863 752 -121   65
B 3873 752 -121   43
B 3883 750 -121   20
B 3893 750 -121   -4
push -10 -10
push out at target
B 3903 750   80  -19
B 3913 745   80  -31
B 3923 716   80  -44
B 3933 725   80  -56
B 3943 739   80  -69
B 3953 752   80  -83
B 3963 753   80  -96
B 3973 729   80 -107
B 3983 702   80 -111
B 3993 693   23 -111
B 4003 690   10 -111
B 4013 734   10 -103
B 4023 758   10  -89
B 4033 772   10  -77
B 4043 779   10  -65
B 4053 783   10  -51
B 4063 785   10  -37
B 4073 786   10  -23
B 4083 787   10   -9
pb end 
B 4093 788   10    5
B 4103 788   10   17
B 4113 789   10   27
SSS v= 7895  t=  156
SSS  -16   -67     6    27
%P VOLT1   = 7683
%P VOLT2   = 7898
%P S2_SC   =  1.01
%P L_ANG_MAX = 156
S 7898   -16   -67     6
B 4123 790  101   34
B 4133 790  101   40
B 4143 790  101   44
B 4153 770  101   46
B 4163 760  101   48
B 4173 762  101   52
B 4183 765  101   53
B 4193 755  101   53
B 4203 729   96   56
B 4213 702   69   61
B 4223 685   31   69
B 4233 676   20   78
B 4243 718   20   89
B 4253 752   20  101
B 4263 767   20  110
B 4273 776   20  120
pull out 122
B 4283 780   10  130
B 4293 783   10  139
B 4303 786   10  148
B 4313 787   10  156
B 4323 788   10  163
B 4333 789   10  171
B 4343 789   10  177
B 4353 789   10  183
B 4363 790   10  188
B 4373 790   10  192
B 4383 790   10  196
B 4393 790   10  199
B 4403 790   10  201
B 4413 790   10  203
B 4423 790   10  204
B 4433 791   10  204
B 4443 791   10  204
B 4453 791   10  204
B 4463 791   10  204
B 4473 791   10  204
B 4483 791   10  204
B 4493 790   10  204
B 4503 791   10  201
B 4513 791   10  197
B 4523 791   10  193
B 4533 792   10  187
B 4543 791   10  181
B 4553 791   10  176
B 4563 791   10  172
B 4573 791   10  168
B 4583 791   10  165
B 4593 791   10  163
B 4603 791   10  161
B 4613 791   10  160
B 4623 791   10  159
B 4633 791   10  159
B 4643 792   10  158
B 4653 792   10  157
B 4663 792   10  157
B 4673 792   10  157
B 4683 792   10  157
B 4693 792   10  157
B 4703 792   10  157
B 4713 792   10  157
B 4723 791   10  157
B 4733 792   10  157
B 4743 792   10  157
B 4753 792   10  157
B 4763 792   10  157
B 4773 792   10  157
B 4783 793   10  157
B 4793 792   10  157
B 4803 793   10  157
B 4813 793   10  157
B 4823 792   10  157
B 4833 793   10  157
B 4843 793   10  157
B 4853 792   10  157
B 4863 793   10  157
B 4873 793   10  157
B 4883 793   10  157
B 4893 792   10  157
B 4903 792   10  157
B 4913 792   10  157
B 4923 792   10  157
B 4933 792   10  157
B 4943 793   10  157
B 4953 793   10  157
B 4963 792   10  157
B 4973 792   10  157
B 4983 793   10  157
B 4993 793   10  157
B 5003 792   10  157
B 5013 793   10  157
B 5023 792   10  157
B 5033 792   10  157
B 5043 793   10  157
B 5053 792   10  157
B 5063 793   10  157
B 5073 792   10  157
B 5083 792   10  157
B 5093 793   10  157
B 5103 793   10  157
B 5113 792   10  157
B 5123 792   10  157
B 5133 793   10  157
B 5143 792   10  157
B 5153 793   10  157
B 5163 793   10  157
B 5173 792   10  157
B 5183 793   10  157
B 5193 793   10  157
B 5203 793   10  157
B 5213 792   10  157
B 5223 793   10  157
B 5233 793   10  157
B 5243 792   10  157
B 5253 793   10  157
B 5263 792   10  157
B 5273 792   10  157
B 5283 793   10  157
B 5293 793   10  157
B 5303 793   10  157
B 5313 793   10  157
B 5323 793 -121  157
B 5333 793 -121  157
B 5343 749 -121  157
B 5353 737 -121  156
B 5363 743 -121  156
B 5373 754 -121  155
B 5383 762 -121  150
B 5393 764 -121  147
B 5403 745 -121  142
B 5413 713 -121  134
B 5423 692 -121  122
B 5433 687 -121  107
B 5443 698 -121   91
B 5453 717 -121   73
B 5463 733 -121   55
B 5473 745 -121   36
B 5483 750 -121   16
B 5493 748 -121   -6
push -10 -10
push out at target
B 5503 746   81  -19
B 5513 737   81  -31
B 5523 715   81  -43
B 5533 722   81  -55
B 5543 736   81  -68
B 5553 749   81  -81
B 5563 754   81  -94
B 5573 732   81 -104
B 5583 704   73 -109
B 5593 689   31 -109
B 5603 684   10 -109
B 5613 731   10 -103
B 5623 758   10  -91
B 5633 772   10  -79
B 5643 779   10  -67
B 5653 782   10  -53
B 5663 784   10  -39
B 5673 786   10  -25
B 5683 787   10  -12
pb end 
B 5693 787   10    1
B 5703 788   10   12
SSS v= 7888  t=  161
SSS  -15   -67     9    20
%P VOLT1   = 7683
%P VOLT2   = 7888
%P S2_SC   =  1.01
%P L_ANG_MAX = 161
S 7888   -15   -67     9
B 5714 788  101   22
B 5724 789  101   29
B 5734 777  101   34
B 5744 761  101   37
B 5754 762  101   40
B 5764 766  101   44
B 5774 769  101   46
B 5784 756  101   47
B 5794 732  101   50
B 5804 704  101   55
B 5814 686   53   64
B 5824 680   20   75
B 5834 682   20   87
B 5844 718   20   99
B 5854 751   20  111
B 5864 769   20  122
pull out 127
B 5874 775   10  132
B 5884 780   10  142
B 5894 782   10  153
B 5904 784   10  162
B 5914 786   10  171
B 5924 787   10  179
B 5934 788   10  187
B 5944 788   10  194
B 5954 788   10  200
B 5964 789   10  205
B 5974 789   10  211
B 5984 789   10  215
B 5994 789   10  218
B 6004 790   10  221
B 6014 790   10  223
B 6024 790   10  224
B 6034 790   10  225
B 6044 790   10  225
B 6054 791   10  225
B 6064 790   10  225
B 6074 791   10  225
B 6084 791   10  225
B 6094 790   10  225
B 6104 791   10  225
B 6114 791   10  225
B 6124 790   10  223
B 6134 790   10  220
B 6144 791   10  217
B 6154 791   10  215
B 6164 790   10  212
B 6174 790   10  209
B 6184 791   10  207
B 6194 791   10  205
B 6204 791   10  203
B 6214 791   10  201
B 6224 791   10  199
B 6234 791   10  197
B 6244 791   10  197
B 6254 791   10  196
B 6264 791   10  195
B 6274 791 -121  193
B 6284 791 -121  193
B 6294 759 -121  193
B 6304 737 -121  191
B 6314 740 -121  189
B 6324 751 -121  188
B 6334 760 -121  184
B 6344 765 -121  179
B 6354 758 -121  174
B 6364 730 -121  166
B 6374 703 -121  155
B 6384 690 -121  140
B 6394 697 -121  123
B 6404 712 -121  106
B 6414 729 -121   87
B 6424 741 -121   67
B 6434 749 -121   47
B 6444 751 -121   25
B 6454 750 -121    2
push -11 -10
push out at target
B 6464 748   81  -16
B 6474 745   81  -27
B 6484 729   81  -39
B 6494 711   81  -55
B 6504 718   81  -68
B 6514 732   81  -83
B 6524 746   81  -99
B 6534 748   81 -113
B 6544 724   81 -124
B 6554 698   81 -129
B 6564 686   31 -130
B 6574 682    0 -129
B 6584 726   10 -123
